Country/Region,"External debt
US dollars",Date,"PercapitaUSdollars",GDP
United States,24.5 trillion,December 2022 [1][2],"73,643",96.4
United Kingdom,8.73 trillion,June 2022[3],"129,203",273.06
France,7.04 trillion,June 2022[3],"107,245",253.35
Germany,6.46 trillion,June 2022[3],"77,607",160.35
Japan,4.36 trillion,June 2022[3],"34,841",101.41
China,2.64 trillion,June 2022[3],"13,721",14.39
Italy,2.51 trillion,31 December 2017[4],"42,300",141
Spain,2.26 trillion,31 December 2017[5],"48,700",170
Canada,3.2 trillion,31 December 2017[6],"52,300",143
Australia,1.83 trillion,31 September 2020[7],"71,906",130
Switzerland,1.82 trillion,31 December 2017[8],"213,100",285
Belgium,1.28 trillion,30 June 2017[9],"112,000",269
Sweden,956 billion,September 2022[3],"90,843",159.5
Singapore,814 billion,March 2023[10],"67,360",134.16
Mexico,769 billion,January 2023[11],"3,300",51.7
Austria,757 billion,31 December 2020[12],"84,061",165
Norway,721 billion,June 2022[13],"132,676",133.4
South Korea,719 billion,September 2022[14],"7,500",48.1
India,625 billion,September 2022[15],437,19.2
Finland,614 billion,September 2022[3],"110,792",203.5
Brazil,556 billion,30 September 2017[16],"3,200",38
Netherlands,555 billion,December 2021[17],"26,540",52
Indonesia,518 billion,January 2023[18],"1,431",39.5
Denmark,482 billion,September 2022[3],"81,965",119
Turkey,444 billion,31 March 2022 [19],"5,155",55
Argentina,382 billion,31 September 2022[20],"6,037",79.3
Russia,348 billion,1 July 2023[21],"2,400",17.36
Greece,350 billion,September 2022[22],"42,800",175.7
Poland,344 billion,December 2022[23],"9,500",49.3
Portugal,292 billion,December 2022[24],"39,478",113.9
Thailand,285 billion,January 2023[25],"2,170",53.6
Philippines,251 billion,January 2023[26],"3,623",60.9
Malaysia,245 billion,December 2022[27],"6,800",60.4
Ireland,228 billion,31 December 2017[28],"49,000",701
Ukraine,225 billion,30 June 2021[29],"2,200",81
United Arab Emirates,220 billion,31 December 2016 est.[30],"23,500",59
Saudi Arabia,201 billion,31 December 2016 est.[31],"6,100",31
Mauritius,200 billion,30 June 2018[32],"148,000",2.01
Taiwan,199 billion,30 June 2018[33],"7,400",28
New Zealand,192 billion,31 March 2020[34],"38,400",90
Chile,187 billion,31 March 2019[35],"9,771",82
Puerto Rico (United States),167 billion,31 January 2015 est.,"47,800",164
Kazakhstan,167 billion,31 March 2017[36],"9,100",91
Qatar,159 billion,31 December 2016 est.[37],"68,100",83
Egypt,158 billion,March 2022 est.[38],700,34
Hungary,148 billion,30 June 2017[39],"15,000",160
South Africa,143 billion,31 December 2016[40],"2,600",57
Vietnam,142 billion,December 2021[41],500,39.1
Czech Republic,138 billion,31 December 2016[42],"13,000",76
Pakistan,122 billion,30 September 2021[43],554,43
Colombia,121 billion,31 January 2017[44],"2,500",57
Cyprus,120 billion,30 June 2017[45],"97,200",849
Venezuela,111 billion,30 September 2015[46],"3,500",23
Romania,109 billion,31 July 2017[47],"5,100",58
Malta,96.3 billion,30 June 2017[48],"223,000",691
Israel,89.4 billion,30 June 2017[49],"10,700",33
Slovakia,86.6 billion,30 June 2017[50],"15,900",112
Bangladesh,78.4 billion,16 October 2021[51],460,22
Peru,74.7 billion,31 December 2016[52],"2,300",44
Iraq,68 billion,31 December 2016 est.[53],"1,800",44
Morocco,63.7 billion,1 March 2022[54],"1,400",46
Slovenia,52 billion,30 April 2020[55],"25,000",104
Kuwait,47.9 billion,31 December 2016 est.[56],"11,700",51
Sri Lanka,46.6 billion,31 December 2016[57],"2,200",68
Croatia,46.1 billion,30 June 2017[58],"10,700",74
Sudan,45 billion,31 December 2015[59],"1,100",121
Latvia,41.1 billion,30 June 2017[60],"21,200",126
Bulgaria,40.4 billion,31 January 2018[61],"5,700",63
Lebanon,39.6 billion,30 April 2022[62],"6,000",220
Belarus,39 billion,30 June 2017[63],"4,000",66
Angola,37.7 billion,31 December 2016 est.[64],"1,400",41
Ecuador,36.7 billion,31 August 2017[65],"2,100",57
Lithuania,36.4 billion,30 June 2017[66],"12,700",74
Serbia,28 billion,30 May 2023[67],"37,845",56.5
Jordan,27.8 billion,30 June 2017[68],"3,400",83
Cuba,26.3 billion,31 December 2016 est.[69],"2,300",34
Uruguay,26.1 billion,31 December 2016[70],"7,600",50
Dominican Republic,26.1 billion,31 December 2016 est.[71],"2,400",36
Mongolia,25.2 billion,30 June 2017[72],"7,800",245
Tunisia,25.1 billion,31 December 2012[73],"2,200",97
Costa Rica,24.9 billion,31 December 2016 est.[74],"5,100",43
Iceland,24.4 billion,30 June 2017[75],"72,700",81
